,channel,unionname,org,name of the channel if differs from unionname,country,channel_videos_url
31,pensionistasdeccoo4567,PENSIONISTAS DE CCOO,CCOO,,spain,https://www.youtube.com/@pensionistasdeccoo4567/videos
32,CCOOCatalunya,CCOOCatalunya,CCOO,,spain,https://www.youtube.com/@CCOOCatalunya/videos
33,FECCOOestatal,FECCOOestatal,CCOO,,spain,https://www.youtube.com/@FECCOOestatal/videos
34,ccooextremadura1691,CCOO Extremadura,CCOO,,spain,https://www.youtube.com/@ccooextremadura1691/videos
35,FSSCCOO,FSS-CCOO,CCOO,,spain,https://www.youtube.com/@FSSCCOO/videos
36,CCOOMadrid,CCOO Madrid,CCOO,,spain,https://www.youtube.com/@CCOOMadrid/videos
37,ccoodeindustria7192,CCOO de Industria,CCOO,,spain,https://www.youtube.com/@ccoodeindustria7192/videos
38,ccoonavarra,ccoo navarra,CCOO,,spain,https://www.youtube.com/@ccoonavarra/videos
39,fscccoo,FSC-CCOO,CCOO,,spain,https://www.youtube.com/@fscccoo/videos
40,unionnacionaldetrabajadore5185,Unión Nacional de Trabajadores (UNT),UNT,,spain,https://www.youtube.com/@unionnacionaldetrabajadore5185/videos
41,SATSESindicato,Sindicato de Enfermería (SATSE),,,spain,https://www.youtube.com/@SATSESindicato/videos
42,AUGuardiasCiviles,Asociación Unificada de Guardias Civiles (AUGC),,AUGC GUARDIA CIVIL,spain,https://www.youtube.com/@AUGuardiasCiviles/videos
43,anpesedenacional7838,Asociación Nacional de Profesionales de la Enseñanza (ANPE),,ANPE Sede Nacional,spain,https://www.youtube.com/@anpesedenacional7838/videos
44,sindicatocobas,Comisiones de Base,,Comisiones de Base co.bas,spain,https://www.youtube.com/@sindicatocobas/videos
45,STESIntersindical,Sindicatos de Trabajadores de la Enseñanza,,STES Intersindical,spain,https://www.youtube.com/@STESIntersindical/videos
46,ESK_sindikatua,Ezker Sindikalaren Konbergentzia (ESK),,Ezker Sindikalaren Konbergentzia (ESK),spain,https://www.youtube.com/@ESK_sindikatua/videos
47,FETICOtube,Confederación Sindical Independiente Fetico,,,spain,https://www.youtube.com/@FETICOtube/videos
48,labsindikatua,Langile Abertzaleen Batzordeak (LAB),,LAB Sindikatua,spain,https://www.youtube.com/@labsindikatua/videos
49,sindicatootras580,Organización de Trabajadoras Sexuales (OTRAS),,Sindicato OTRAS,spain,https://www.youtube.com/@sindicatootras580/videos
50,sindicatocirculacion,Sindicato de Circulación Ferroviario (SCF),,,spain,https://www.youtube.com/@sindicatocirculacion/videos
51,SECBCaixaBank,Sindicato de Empleados de CaixaBank (SECB),,SECB CaixaBank,spain,https://www.youtube.com/@SECBCaixaBank/videos
52,sindicatoferroviariofgvint5688,Sindicato Ferroviario Fgv Intersindical Valenciana,,,spain,https://www.youtube.com/@sindicatoferroviariofgvint5688/videos
53,sindicatoindependientedela3703,Sindicato Independiente de la Energía,,,spain,https://www.youtube.com/@sindicatoindependientedela3703/videos
54,sindicatoferroviario59,Sindicato Ferroviario,,,spain,https://www.youtube.com/@sindicatoferroviario59/videos
55,cesmsindicatomedicocastill7348,CESM Sindicato Médico Castilla La Mancha,,,spain,https://www.youtube.com/@cesmsindicatomedicocastill7348/videos
56,sindicatosolidaridad5537,Sindicato Solidaridad,,,spain,https://www.youtube.com/@sindicatosolidaridad5537/videos
57,SindicatodeTrabajadores,Sindicato de Trabajadores,,,spain,https://www.youtube.com/@SindicatodeTrabajadores/videos
58,semaf1926,Sindicato Español de Maquinistas y Ayudantes Ferroviarios,,SEMAF,spain,https://www.youtube.com/@semaf1926/videos
59,anpecomunidadvalencianasin9507,ANPE COMUNIDAD VALENCIANA SINDICATO INDEPENDIENTE,,,spain,https://www.youtube.com/@anpecomunidadvalencianasin9507/videos
60,LABREGXSdaGALIZA,Sindicato Labrego Galego (SLG-CC.LL.),,LABREGXSdaGALIZA,spain,https://www.youtube.com/@LABREGXSdaGALIZA/videos
61,SindicatoSGTEX,Sindicato de Empleados Públicos SGTEX,,,spain,https://www.youtube.com/@SindicatoSGTEX/videos
62,fsoc13,Frente Sindical Obrero de Canarias,,,spain,https://www.youtube.com/@fsoc13/videos
63,CEPcanaltv,Confederación Española de Policía (CEP),,CEPcanaltv,spain,https://www.youtube.com/@CEPcanaltv/videos
64,sup_policia3878,Sindicato Unificado de Policía (SUP),,SUP_Policia,spain,https://www.youtube.com/@sup_policia3878/videos
65,solidaridadpostaltv,Solidaridad Postal Sindicato,,solidaridadpostaltv,spain,https://www.youtube.com/@solidaridadpostaltv/videos
66,somossindicalistas3248,Somos Sindicalistas,,,spain,https://www.youtube.com/@somossindicalistas3248/videos
67,sindicatotace,Técnicos Audiovisuales y Cinematográficos del Estado Español (TACEE),,Sindicato TACE,spain,https://www.youtube.com/@sindicatotace/videos
68,uniopagesoscatalunya,Unió de Pagesos de Catalunya,,,spain,https://www.youtube.com/@uniopagesoscatalunya/videos
69,SindicatoUSO,Unión Sindical Obrera Confederal,,,spain,https://www.youtube.com/@SindicatoUSO/videos
70,USCAchannel,Unión Sindical de Controladores Aéreos (USCA) ,,USCAchannel,spain,https://www.youtube.com/@USCAchannel/videos
71,6Fackforbund,6f fackförbund,LO,,sweden,https://www.youtube.com/@6Fackforbund/videos
72,akademikerforbundetssr,akademikerförbundet ssr,Saco,,sweden,https://www.youtube.com/@akademikerforbundetssr/videos
73,Akavia,Akademikernas Fackförbund,Saco,Akavia,sweden,https://www.youtube.com/@Akavia/videos
74,byggnads,byggnads,LO,,sweden,https://www.youtube.com/@byggnads/videos
75,byggnadsa-kassa7135,byggnads,LO,Byggnads a-kassa,sweden,https://www.youtube.com/@byggnadsa-kassa7135/videos
76,byggnadsvast1540,byggnads,LO,byggnads väst,sweden,https://www.youtube.com/@byggnadsvast1540/videos
77,byggnadsvast973,byggnads,LO,byggnads väst,sweden,https://www.youtube.com/@byggnadsvast973/videos
78,user-tl9qb3kx3e ,byggnads,LO,byggnads kongress 2014,sweden,https://www.youtube.com/@user-tl9qb3kx3e /videos
79,Civilekonomerna,civilekonomerna,Saco,,sweden,https://www.youtube.com/@Civilekonomerna/videos
80,DIKforbundet,dik,Saco,,sweden,https://www.youtube.com/@DIKforbundet/videos
81,DIKtuben,dik,Saco,,sweden,https://www.youtube.com/@DIKtuben/videos
82,Elektrikerna-facket,elektrikerförbundet,LO,,sweden,https://www.youtube.com/@Elektrikerna-facket/videos
83,UngaElektriker,elektrikerförbundet,LO,Unga Elektriker,sweden,https://www.youtube.com/@UngaElektriker/videos
84,facketstvidgu5767,fackförbundet st,TCO,facketst vid gu,sweden,https://www.youtube.com/@facketstvidgu5767/videos
85,FackforbundetST,fackförbundet st,TCO,,sweden,https://www.youtube.com/@FackforbundetST/videos
86,fastighetsanstalldasforbun2663,fastighetsanställdas förbund,LO,,sweden,https://www.youtube.com/@fastighetsanstalldasforbun2663/videos
87,forena4265,Forena,TCO,,sweden,https://www.youtube.com/@forena4265/videos
88,fysioterapeuterna1283,fysioterapeuterna,Saco,,sweden,https://www.youtube.com/@fysioterapeuterna1283/videos
89,SverigesArbetsterapeuter,förbundet sveriges arbetsterapeuter,Saco,,sweden,https://www.youtube.com/@SverigesArbetsterapeuter/videos
90,GSfacket1,gs facket,LO,,sweden,https://www.youtube.com/@GSfacket1/videos
91,handelsanstalldasforbund,handelsanställdas förbund,LO,,sweden,https://www.youtube.com/@handelsanstalldasforbund/videos
92,hotell-ochrestaurangfacket2597,hotell- och restaurangfacket,LO,,sweden,https://www.youtube.com/@hotell-ochrestaurangfacket2597/videos
93,hotell-ochrestaurangfacket9589,hotell- och restaurangfacket,LO,Hotell- och Restaurangfacket avd02,sweden,https://www.youtube.com/@hotell-ochrestaurangfacket9589/videos
94,ifmetallboras7634,industrifacket metall,LO,IF Metall Borås,sweden,https://www.youtube.com/@ifmetallboras7634/videos
95,ifmetallgoteborg,industrifacket metall,LO,IF Metall Göteborg 2008,sweden,https://www.youtube.com/@ifmetallgoteborg/videos
96,Industrifacketmetall,industrifacket metall,LO,,sweden,https://www.youtube.com/@Industrifacketmetall/videos
97,Industrifacketmetall,industrifacket metall,LO,,sweden,https://www.youtube.com/@Industrifacketmetall/videos
98,rullarrk,industrifacket metall,LO,,sweden,https://www.youtube.com/@rullarrk/videos
99,Journalistforbundet,journalistförbundet,TCO,,sweden,https://www.youtube.com/@Journalistforbundet/videos
100,SvenskaJournalisten,journalistförbundet,TCO,tidningen journalisten,sweden,https://www.youtube.com/@SvenskaJournalisten/videos
101,Boost2013,jusek,Saco,Boost13,sweden,https://www.youtube.com/@Boost2013/videos
102,JusekTV,jusek,Saco,,sweden,https://www.youtube.com/@JusekTV/videos
103,facket_kommunal,kommunalarbetareförbundet,LO,Kommunal,sweden,https://www.youtube.com/@facket_kommunal/videos
104,Kommunalarbetaren,kommunalarbetareförbundet,LO,,sweden,https://www.youtube.com/@Kommunalarbetaren/videos
105,valjvalfarden7634,kommunalarbetareförbundet,LO,Välj Välfärden,sweden,https://www.youtube.com/@valjvalfarden7634/videos
106,Livsmedelsarbetare,Livsmedelsarbetareförbundet Sverige,LO,,sweden,https://www.youtube.com/@Livsmedelsarbetare/videos
107,livsmedelsarbetareforsolid3658,Livsmedelsarbetareförbundet Sverige,LO,Livsmedelsarbetare för Solidaritet,sweden,https://www.youtube.com/@livsmedelsarbetareforsolid3658/videos
108,losverige,lo,LO,,sweden,https://www.youtube.com/@losverige/videos
109,tidningen arbetet,lo,LO,,sweden,https://www.youtube.com/@tidningen arbetet/videos
110,Lararforbundet,lärarförbundet,TCO,,sweden,https://www.youtube.com/@Lararforbundet/videos
111,lararforbundethalmstad4100,lärarförbundet,TCO,Lärarförbundet Halmstad,sweden,https://www.youtube.com/@lararforbundethalmstad4100/videos
112,lararforbundetkarlskrona590,lärarförbundet,TCO,lärarförbundet karlskrona,sweden,https://www.youtube.com/@lararforbundetkarlskrona590/videos
113,lararforbundetkarlstad1297,lärarförbundet,TCO,lararforbundetkarlstad,sweden,https://www.youtube.com/@lararforbundetkarlstad1297/videos
114,lararforbundetkarlstad1297,lärarförbundet,TCO,lärarförbundet karlstad,sweden,https://www.youtube.com/@lararforbundetkarlstad1297/videos
115,lararforbundetkarlstad285,lärarförbundet,TCO,lararforbundetkarlstad,sweden,https://www.youtube.com/@lararforbundetkarlstad285/videos
116,lararforbundetkungalv6704,lärarförbundet,TCO,lärarförbundet kungälv,sweden,https://www.youtube.com/@lararforbundetkungalv6704/videos
117,lararforbundetkungsbacka9217,lärarförbundet,TCO,lärarförbundet kungsbacka,sweden,https://www.youtube.com/@lararforbundetkungsbacka9217/videos
118,lararforbundetornskoldsvik5724,lärarförbundet,TCO,lärarförbundet Örnsköldsvik,sweden,https://www.youtube.com/@lararforbundetornskoldsvik5724/videos
119,lararforbundetornskoldsvik8180,lärarförbundet,TCO,lärarförbundet Örnsköldsvik,sweden,https://www.youtube.com/@lararforbundetornskoldsvik8180/videos
120,lararforbundetstockholm2373,lärarförbundet,TCO,lärarförbundet stockholm,sweden,https://www.youtube.com/@lararforbundetstockholm2373/videos
121,lararforbundetsundsvall1490,lärarförbundet,TCO,lärarförbundet sundsvall,sweden,https://www.youtube.com/@lararforbundetsundsvall1490/videos
122,milla79larare,lärarförbundet,TCO,lärarförbundet Västerås,sweden,https://www.youtube.com/@milla79larare/videos
123,studiolararforbundetstuden2879,lärarförbundet,TCO,studio lärarförbundet student,sweden,https://www.youtube.com/@studiolararforbundetstuden2879/videos
124,LararnasRiksforbund_LR,lärarnas riksförbund,Saco,,sweden,https://www.youtube.com/@LararnasRiksforbund_LR/videos
125,Skolvarlden,lärarnas riksförbund,Saco,Skolvarlden,sweden,https://www.youtube.com/@Skolvarlden/videos
126,Musikerforbundet,musikerförbundet,LO,,sweden,https://www.youtube.com/@Musikerforbundet/videos
127,malareforbundet,målareförbundet,LO,Målarna,sweden,https://www.youtube.com/@malareforbundet/videos
128,naturvetarna1928,naturvetarna,Saco,,sweden,https://www.youtube.com/@naturvetarna1928/videos
129,pappers1281,pappers,LO,,sweden,https://www.youtube.com/@pappers1281/videos
130,Polisforbundet,polisförbundet,TCO,,sweden,https://www.youtube.com/@Polisforbundet/videos
131,PluggavidaremedSaco,saco,Saco,Plugga vidare,sweden,https://www.youtube.com/@PluggavidaremedSaco/videos
132,SacoPlay,Saco,Saco,,sweden,https://www.youtube.com/@SacoPlay/videos
133,saco-forbundettrafikochjar2589,Saco-förbundet Trafik och Järnväg,Saco,,sweden,https://www.youtube.com/@saco-forbundettrafikochjar2589/videos
134,fackforbundetscenfilm1674,Fackförbundet Scen & Film,TCO,,sweden,https://www.youtube.com/@fackforbundetscenfilm1674/videos
135,sekosparfel3760,seko,LO,seko spårfel,sweden,https://www.youtube.com/@sekosparfel3760/videos
136,sverigesarkitekter9502,Sveriges Arkitekter,Saco,,sweden,https://www.youtube.com/@sverigesarkitekter9502/videos
137,Sverigesingenjorer,sveriges ingenjörer,Saco,,sweden,https://www.youtube.com/@Sverigesingenjorer/videos
138,sverigesingenjorerdistrikn5213,sveriges ingenjörer,Saco,Sveriges Ingenjörer Distrik Norr,sweden,https://www.youtube.com/@sverigesingenjorerdistrikn5213/videos
139,Teknologvalet,sveriges ingenjörer,Saco,Teknologgruppen Sveriges Ingenjörer,sweden,https://www.youtube.com/@Teknologvalet/videos
140,lakarforbundet1,sveriges läkarförbund,Saco,,sweden,https://www.youtube.com/@lakarforbundet1/videos
141,sverigespsykologforbund1867,sveriges psykologförbund,Saco,,sweden,https://www.youtube.com/@sverigespsykologforbund1867/videos
142,sverigespsykologforbund3762,sveriges psykologförbund,Saco,,sweden,https://www.youtube.com/@sverigespsykologforbund3762/videos
143,Skolledarforbundet,sveriges skolledarförbund,Saco,,sweden,https://www.youtube.com/@Skolledarforbundet/videos
144,sverigestandlakarforbund6025,sveriges tandläkarförbund,Saco,,sweden,https://www.youtube.com/@sverigestandlakarforbund6025/videos
145,TCOSverige,tco,TCO,TCO Sverige,sweden,https://www.youtube.com/@TCOSverige/videos
146,Transportfacket,transportarbetareförbundet,LO,Transportfacket,sweden,https://www.youtube.com/@Transportfacket/videos
147,tidningenkollega2125,unionen,TCO,tidningen kollega,sweden,https://www.youtube.com/@tidningenkollega2125/videos
148,UnionenTV,unionen,TCO,,sweden,https://www.youtube.com/@UnionenTV/videos
149,unionenklubbenpahp4534,unionen,TCO,unionen klubben på hp,sweden,https://www.youtube.com/@unionenklubbenpahp4534/videos
150,UnionenSjuHall,unionen,TCO,unionen sjuhall,sweden,https://www.youtube.com/@UnionenSjuHall/videos
151,unionenstudent,unionen,TCO,unionen student,sweden,https://www.youtube.com/@unionenstudent/videos
152,unionensydvast2682,unionen,TCO,unionen sydväst,sweden,https://www.youtube.com/@unionensydvast2682/videos
153,unionensydvast2180,unionen,TCO,unionen sydvast,sweden,https://www.youtube.com/@unionensydvast2180/videos
154,studentivision,vision,TCO,studentivision,sweden,https://www.youtube.com/@studentivision/videos
155,tidningenvision,vision,TCO,tidningen vision,sweden,https://www.youtube.com/@tidningenvision/videos
156,visionlandstingsavdelninge2720,vision,TCO,vision landstingsavdelningen värmland,sweden,https://www.youtube.com/@visionlandstingsavdelninge2720/videos
157,visionstockholmsstad8384,vision,TCO,vision stockholms stad,sweden,https://www.youtube.com/@visionstockholmsstad8384/videos
158,visiongoteborg,vision,TCO,visiongoteborg,sweden,https://www.youtube.com/@visiongoteborg/videos
159,visionkanalen,vision,TCO,,sweden,https://www.youtube.com/@visionkanalen/videos
160,VisionNorrkoping,vision,TCO,visionnorrkoping,sweden,https://www.youtube.com/@VisionNorrkoping/videos
161,Visionscenter,vision,TCO,Visionscenter,sweden,https://www.youtube.com/@Visionscenter/videos
162,vardforbundet1,vårdförbundet,TCO,,sweden,https://www.youtube.com/@vardforbundet1/videos
163,Syndikalisterna,SAC Syndikalisterna,SAC,,sweden,https://www.youtube.com/@Syndikalisterna/videos
164,akademikerforbundet35,Akademikerforbundet,Unio,,norway,https://www.youtube.com/@akademikerforbundet35/videos
165,akademikerne802,Akademikerne,Akademikerne,,norway,https://www.youtube.com/@akademikerne802/videos
166,arbeiderbevegelsenspressef193,Arbeiderbevegelsens Presseforbund,LO Norge,,norway,https://www.youtube.com/@arbeiderbevegelsenspressef193/videos
167,creoforbundetforkunstogkul5297,Creo,LO Norge,,norway,https://www.youtube.com/@creoforbundetforkunstogkul5297/videos
168,delta-enarbeidstakerorgani8787,Delta,YS,,norway,https://www.youtube.com/@delta-enarbeidstakerorgani8787/videos
169,Legeforeningen,Den norske legeforening,Akademikerne,,norway,https://www.youtube.com/@Legeforeningen/videos
170,dennorsketannlegeforening4791,Den norske tannlegeforening,Akademikerne,,norway,https://www.youtube.com/@dennorsketannlegeforening4791/videos
171,dennorskeveterinrforening1311,Den norske veterinærforening,Akademikerne,,norway,https://www.youtube.com/@dennorskeveterinrforening1311/videos
172,detnorskemaskinistforbund2350,Det norske maskinistforbund,Unio,,norway,https://www.youtube.com/@detnorskemaskinistforbund2350/videos
173,econahioahioa3397,Econa,Akademikerne,,norway,https://www.youtube.com/@econahioahioa3397/videos
174,EconaTV,Econa,Akademikerne,,norway,https://www.youtube.com/@EconaTV/videos
175,elogitforbundet3053,EL og IT Forbundet,LO Norge,,norway,https://www.youtube.com/@elogitforbundet3053/videos
176,fagforbundet3762,Fagforbundet,LO Norge,,norway,https://www.youtube.com/@fagforbundet3762/videos
177,fellesforbundet4310,Fellesforbundet,LO Norge,,norway,https://www.youtube.com/@fellesforbundet4310/videos
178,fellesungdom,Fellesforbundet,LO Norge,fellesungdom,norway,https://www.youtube.com/@fellesungdom/videos
179,fellesorganisasjonenfo1764,Fellesorganisasjonen (FO),LO Norge,,norway,https://www.youtube.com/@fellesorganisasjonenfo1764/videos
180,finansforbundet1,Finansforbundet ,YS,,norway,https://www.youtube.com/@finansforbundet1/videos
181,forbundetforledelseogtekni9092,Forbundet for Ledelse og Teknikk,LO Norge,,norway,https://www.youtube.com/@forbundetforledelseogtekni9092/videos
182,forfatterforbundet,Forfatterforbundet,LO Norge,,norway,https://www.youtube.com/@forfatterforbundet/videos
183,ForskerforbundetOslo,Forskerforbundet,Unio,,norway,https://www.youtube.com/@ForskerforbundetOslo/videos
184,forskerforbundetuio1352,Forskerforbundet,Unio,,norway,https://www.youtube.com/@forskerforbundetuio1352/videos
185,hkinorge2871,Handel og Kontor i Norge (HK),LO Norge,,norway,https://www.youtube.com/@hkinorge2871/videos
186,hovedorganisasjonenunio8488,Hovedorganisasjonen for universitets- og høyskoleutdannede (Unio),Unio,,norway,https://www.youtube.com/@hovedorganisasjonenunio8488/videos
187,industriEnergi,Industri Energi (IE),LO Norge,,norway,https://www.youtube.com/@industriEnergi/videos
188,Juristforbundet,Juristforbundet,Akademikerne,,norway,https://www.youtube.com/@Juristforbundet/videos
189,KOL1909/featured,Krigsskoleutdannede offiserers landsforening,Akademikerne,,norway,https://www.youtube.com/@KOL1909/featured/videos
190,kriminalomsorgensyrkesforb8157,Kriminalomsorgens Yrkesforbund ,YS,,norway,https://www.youtube.com/@kriminalomsorgensyrkesforb8157/videos
191,lonorge,LO Norge,LO Norge,,norway,https://www.youtube.com/@lonorge/videos
192,naturviterne,Naturviterne,Akademikerne,,norway,https://www.youtube.com/@naturviterne/videos
193,NegotiaEtYSForbund,Negotia,YS,,norway,https://www.youtube.com/@NegotiaEtYSForbund/videos
194,norgesoffisers-ogspesialis5330,Norges offisers- og spesialistforbund,LO Norge,,norway,https://www.youtube.com/@norgesoffisers-ogspesialis5330/videos
195,norskarbeidsmandsforbund6598,Norsk Arbeidsmandsforbund,LO Norge,,norway,https://www.youtube.com/@norskarbeidsmandsforbund6598/videos
196,norskergoterapeutforbund1616,Norsk Ergoterapeutforbund,Unio,,norway,https://www.youtube.com/@norskergoterapeutforbund1616/videos
197,norskfengsels-ogfriomsorgs1163,Norsk Fengsels- og Friomsorgsforbund,LO Norge,,norway,https://www.youtube.com/@norskfengsels-ogfriomsorgs1163/videos
198,norskfengsels-ogfriomsorgs8309,Norsk Fengsels- og Friomsorgsforbund,LO Norge,,norway,https://www.youtube.com/@norskfengsels-ogfriomsorgs8309/videos
199,norskflygerforbund6598,Norsk Flygerforbund,LO Norge,,norway,https://www.youtube.com/@norskflygerforbund6598/videos
200,norskfysio2444,Norsk Fysioterapeutforbund,Unio,,norway,https://www.youtube.com/@norskfysio2444/videos
201,norskjernbaneforbund,Norsk Jernbaneforbund,LO Norge,,norway,https://www.youtube.com/@norskjernbaneforbund/videos
202,norskjernbaneforbund8318,Norsk Jernbaneforbund,LO Norge,,norway,https://www.youtube.com/@norskjernbaneforbund8318/videos
203,norsklektorlag4789,Norsk Lektorlag,Akademikerne,,norway,https://www.youtube.com/@norsklektorlag4789/videos
204,norskmanuellterapeutforeni110,Norsk Manuellterapeutforening,LO Norge,,norway,https://www.youtube.com/@norskmanuellterapeutforeni110/videos
205,nnnforbundet4344,Norsk Nærings- og Nytelsesmiddelarbeiderforbund (NNN),LO Norge,,norway,https://www.youtube.com/@nnnforbundet4344/videos
206,norskpsykologforening6994,Norsk psykologforening,Akademikerne,,norway,https://www.youtube.com/@norskpsykologforening6994/videos
207,radiografforbundet,Norsk Radiografforbund,Unio,,norway,https://www.youtube.com/@radiografforbundet/videos
208,Sjomannsforbundet,Norsk Sjømannsforbund (NSF),LO Norge,,norway,https://www.youtube.com/@Sjomannsforbundet/videos
209,norsksjoffisersforbund1115,Norsk Sjøoffisersforbund (NSOF),LO Norge,,norway,https://www.youtube.com/@norsksjoffisersforbund1115/videos
210,Sykepleierforbundet,Norsk Sykepleierforbund,Unio,,norway,https://www.youtube.com/@Sykepleierforbundet/videos
211,norsktannpleierforening3461,Norsk Tannpleierforening,Unio,,norway,https://www.youtube.com/@norsktannpleierforening3461/videos
212,ntlwebtv,Norsk Tjenestemannslag,LO Norge,,norway,https://www.youtube.com/@ntlwebtv/videos
213,NorskTollerforbundOslo/featured,Norsk Tollerforbund,YS,,norway,https://www.youtube.com/@NorskTollerforbundOslo/featured/videos
214,parat_ys,Parat,YS,,norway,https://www.youtube.com/@parat_ys/videos
215,politietsfellesforbund7352,Politiets Fellesforbund,Unio,,norway,https://www.youtube.com/@politietsfellesforbund7352/videos
216,safefagforbund8928,SAFE,YS,,norway,https://www.youtube.com/@safefagforbund8928/videos
217,Samfunnsviterne,Samfunnsviterne,Akademikerne,,norway,https://www.youtube.com/@Samfunnsviterne/videos
218,samfunnsviterne1060,Samfunnsviterne,Akademikerne,,norway,https://www.youtube.com/@samfunnsviterne1060/videos
219,samfunnskonomene8172,Samfunnsøkonomene,Akademikerne,,norway,https://www.youtube.com/@samfunnskonomene8172/videos
220,skolelederforbundet8385,Skolelederforbundet ,YS,,norway,https://www.youtube.com/@skolelederforbundet8385/videos
221,skoleneslandsforbund483,Skolenes landsforbund (SL),LO Norge,,norway,https://www.youtube.com/@skoleneslandsforbund483/videos
222,skoleneslandsforbundsl565,Skolenes landsforbund (SL),LO Norge,,norway,https://www.youtube.com/@skoleneslandsforbundsl565/videos
223,teknawebmaster,Tekna,Akademikerne,,norway,https://www.youtube.com/@teknawebmaster/videos
224,Utdanningsforbundet,Utdanningsforbundet,Unio,,norway,https://www.youtube.com/@Utdanningsforbundet/videos
225,yrkestrafikkforbundetytf4886,Yrkestrafikkforbundet (YTF),YS,,norway,https://www.youtube.com/@yrkestrafikkforbundetytf4886/videos
226,YTFNorge,Yrkestrafikkforbundet (YTF),YS,,norway,https://www.youtube.com/@YTFNorge/videos
227,ysnorge,YS – Yrkesorganisasjonenes Sentralforbund,YS,,norway,https://www.youtube.com/@ysnorge/videos
228,Collettiva,Confederazione Generale Italiana del Lavoro (CGIL),CGIL,Collettiva,italy,https://www.youtube.com/@Collettiva/videos
229,filcamscgil,"Federazione Italiana Lavoratori Commercio, Alberghi, Mense e Servizi",CGIL,filcamscgil,italy,https://www.youtube.com/@filcamscgil/videos
230,FILCTEMCGIL,"Federazione Italiana Lavoratori della Chimica, del Tessile, dell'Energia, delle Manifatture",CGIL,FILCTEMCGIL,italy,https://www.youtube.com/@FILCTEMCGIL/videos
