channel,unionname,org,name of the channel if differs from unionname,country,channel_id,channel_url,created_at,description,videos_count,subs_count,views_count
SindicatoUSO,Unión Sindical Obrera Confederal,,,spain,UC0ORC_lYzkqZy0Md_9owAVw,https://www.youtube.com/channel/UC0ORC_lYzkqZy0Md_9owAVw,2008-05-19 11:20:58+00:00,"La USO es un sindicato basado en la autonomía sindical, independiente, por lo tanto, de los partidos políticos, los gobiernos y las organizaciones empresariales. La autonomía es una de las señas de identidad histórica de la USO y un principio insustituible para afrontar los desafíos de hoy.
USO es un sindicato pluralista abierto a todos los trabajadores y trabajadoras, con absoluto respeto a sus concepciones y prácticas religiosas, filosóficas, ideológicas, políticas o culturales.",317,621,275849
USCAchannel,Unión Sindical de Controladores Aéreos (USCA) ,,USCAchannel,spain,UC15mqodBb5LKBp51ZOfQbJg,https://www.youtube.com/channel/UC15mqodBb5LKBp51ZOfQbJg,2012-09-11 11:01:58+00:00,Canal de YouTube de la Unión Sindical de Controladores Aéreos.,37,258,78008
6Fackforbund,6f fackförbund,LO,,sweden,UCyUW90F2_lbsWhSNOqsZrlg,https://www.youtube.com/channel/UCyUW90F2_lbsWhSNOqsZrlg,2014-01-16 10:34:15+00:00,"6F är ett samarbete mellan fackförbund inom LO, Byggnads, Elektrikerna, Fastighetsanställdas Förbund, Målarna och Seko. 
Samarbetet handlar om att aktivt vårda den svenska modellen. Utvecklingen på arbetsmarknaden ska ske i dialog mellan parterna och kollektivavtalet är ett redskap för att trygga en fortsatt positiv utveckling. Läs mer på www.6f.se",4,29,13452
akademikerforbundetssr,akademikerförbundet ssr,Saco,,sweden,UCOeIvHnztXxOw6TbsrarZzQ,https://www.youtube.com/channel/UCOeIvHnztXxOw6TbsrarZzQ,2013-09-04 12:16:44+00:00,"Akademikerförbundet SSR är det ledande fackförbundet för högskoleutbildade beteendevetare, ekonomer, folkhälsovetare, personalvetare, samhällsvetare och socionomer. 

92% av våra 75 000 medlemmar rekommenderar medlemskapet. 

akademssr.se
@akademssr
08-617 44 00",545,499,300216
Akavia,Akademikernas Fackförbund,Saco,Akavia,sweden,UCuTFWoJQ_B9yVEDrpsOruOw,https://www.youtube.com/channel/UCuTFWoJQ_B9yVEDrpsOruOw,2019-12-11 11:02:57.219541+00:00,"Jusek och Civilekonomerna skapar ett nytt förbund. Från och med den 1 januari 2020 bildar vi tillsammans Akavia. Det nya namnet betyder den akademiska vägen, AKA för akademi och VIA för väg. Akavia vill ge ekonomer, jurister, samhällsvetare, IT-akademiker, personalvetare och kommunikatörer bättre utväxling på sin utbildning. Ordförande för det nya förbundet blir Lee Wermelin. Akavia kommer att samla över 130 000 medlemmar och blir näst störst inom Saco.",125,398,5927438
byggnads,byggnads,LO,,sweden,UCjNBt0wR0pV_tt9MDP5FccA,https://www.youtube.com/channel/UCjNBt0wR0pV_tt9MDP5FccA,2006-09-16 12:54:52+00:00,"Byggnads är fackföreningen för alla byggnadsarbetare. Tillsammans är vi över 100 000 starka, stolta och trygga medlemmar. Vi arbetar för bättre löner och säkrare arbetsmiljö. Byggnads är medlem i LO.

Din personliga integritet och vår hantering av dina personuppgifter är viktig för Byggnads. Med anledning av den nya dataskyddsförordningen (GDPR) har vi därför förtydligat hur vi hanterar dina personuppgifter. Läs gärna mer här: https://www.byggnads.se/dataskydd/",180,531,601381
byggnadsa-kassa7135,byggnads,LO,Byggnads a-kassa,sweden,UCI1ei0HVTsELNpBUnJXb8CQ,https://www.youtube.com/channel/UCI1ei0HVTsELNpBUnJXb8CQ,2016-09-28 07:40:10+00:00,Välkommen till YouTube-kanalen för Byggnads a-kassa!,5,20,7920
byggnadsvast1540,byggnads,LO,byggnads väst,sweden,UCpiI7phvftRu0xasxjt48DA,https://www.youtube.com/channel/UCpiI7phvftRu0xasxjt48DA,2014-06-03 08:18:43+00:00,Byggnads Västs officiella Youtube-kanal.,5,6,1073
byggnadsvast973,byggnads,LO,byggnads väst,sweden,UCkd3kS5IirWJfgLddo45ACw,https://www.youtube.com/channel/UCkd3kS5IirWJfgLddo45ACw,2017-09-17 17:44:11+00:00,"Byggnads Västs offentliga Youtubekanal.
Byggnads är fackföreningen för alla byggnadsarbetare. 
Vid årsskiftet 2018–2019 hade vi 102 730 medlemmar.
Byggnads uppgift är att ta tillvara medlemmarnas intressen på arbetsmarknaden och i samhället i stort. Förbundet ska också verka för en samhällsutveckling på grundval av politisk, social och ekonomisk demokrati.

Förbundet arbetar med tre huvuduppgifter:
Att förhandla med arbetsgivare och träffa avtal om medlemmarnas löner, arbetstid och andra arbetsvillkor.
Att försvara medlemmarnas rättigheter enligt de lagar som gäller på arbetsmarknaden.
Att bistå medlemmarna i deras rätt till försäkringsersättning vid sjukdom, olycksfall, ålderdom, rehabilitering och arbetslöshet.
Byggnads är organiserat i elva regioner, vilka i sin tur är indelade i 199 medlemskretsar. Alla förbundets medlemmar ingår i någon medlemskrets och kan där aktivt arbeta för att påverka och utveckla verksamheten.


Vi raderar olämpliga kommentarer.",48,28,11190
user-tl9qb3kx3e ,byggnads,LO,byggnads kongress 2014,sweden,UCfrUFDpCfoeFs616ph6kYaw,https://www.youtube.com/channel/UCfrUFDpCfoeFs616ph6kYaw,2014-06-11 11:13:13+00:00,,8,3,1083
Civilekonomerna,civilekonomerna,Saco,,sweden,UCIf-ZcnEiBWNTlGBY-IldZg,https://www.youtube.com/channel/UCIf-ZcnEiBWNTlGBY-IldZg,2012-01-27 08:34:52+00:00,Den 1 januari 2020 gick Jusek och Civilekonomerna ihop och bildade Akavia. Du hittar vårt nya förbund på akavia.se,88,1070,780887
DIKforbundet,dik,Saco,,sweden,UCFoVQZeQ7YHlXcPBBSJAXLg,https://www.youtube.com/channel/UCFoVQZeQ7YHlXcPBBSJAXLg,2008-06-12 15:20:20+00:00,Akademiker som arbetar med kultur och kommunikation,4,3,2392
DIKtuben,dik,Saco,,sweden,UCa2fe4ME1KgfhF76GciAjyg,https://www.youtube.com/channel/UCa2fe4ME1KgfhF76GciAjyg,2010-06-02 09:59:33+00:00,DIK är facket för akademiker som arbetar med kultur och kommunikation.,63,4130,1378569
Elektrikerna-facket,elektrikerförbundet,LO,,sweden,UCYGxbRntug006Fd_Blrz3Tg,https://www.youtube.com/channel/UCYGxbRntug006Fd_Blrz3Tg,2011-10-04 18:47:45+00:00,"Fackförbundet Elektrikerna organiserar Sveriges elektriker och är deras samlade röst i samhällsdebatten. Tillsammans kämpar vi för högre lön, bättre arbetsvillkor och trygga jobb!

De allra flesta elektriker är med i facket. Förklaring är ganska självklar. Ensam är inte stark. Vi blir starkare och tryggare tillsammans. Medlem blir du på vår hemsida: www.sef.se/bli-medlem
 
På vår YouTube-kanal visas ett urval av filmer som Elektrikerna har tagit fram.",231,426,197047
UngaElektriker,elektrikerförbundet,LO,Unga Elektriker,sweden,UCbXhi5OENJQ6psmyaD2h6jw,https://www.youtube.com/channel/UCbXhi5OENJQ6psmyaD2h6jw,2009-10-17 18:23:31+00:00,"Unga Elektriker är ett nätverk som drivs ideellt av unga elektriker runt om i Sverige.
Sidan är till för att vi skall hjälpa varandra, diskuterar problem och visa upp vår verklighet. 
Låt dina problem komma upp till ytan genom att dela med dig av egna erfarenheter med bilder och inlägg.

Om vi alla hjälps åt kommer det alltid finnas någon av oss som kan hjälpa dig och har du tur så kan just ditt inlägg kanske rädda någon från att råka ut för samma sak.
Denna sida sköts ideellt av privatpersoner. Vi som sköter sidan är aktiva inom Svenska Elektrikerförbundet men är helt fristående när det gäller Unga Elektriker. 

Alltså de kan inte styra oss men vi kan vara med och påverka dem.",25,100,37490
facketstvidgu5767,fackförbundet st,TCO,facketst vid gu,sweden,UCaAPLhGX_eFpUH26grcpv8A,https://www.youtube.com/channel/UCaAPLhGX_eFpUH26grcpv8A,2015-03-12 11:55:04+00:00,Filmer från evenemang som vi Facket ST vi Göteborgs universitet ordnar.,1,2,317
FackforbundetST,fackförbundet st,TCO,,sweden,UCjYMWXm6lvbDSdOcowd69-Q,https://www.youtube.com/channel/UCjYMWXm6lvbDSdOcowd69-Q,2009-11-04 15:02:04+00:00,"Fackförbundet ST - facket för dig på statligt uppdrag

Fackförbundet ST är det största och ledande fackförbundet inom statlig verksamhet. Vi har över 97 000 medlemmar som arbetar inom statliga myndigheter och verk, bolag med statligt uppdrag, universitet, högskolor och statligt finansierade stiftelser.",160,284,1005275
fastighetsanstalldasforbun2663,fastighetsanställdas förbund,LO,,sweden,UCzc0-xOjIXfCj3Dq5qTrvkg,https://www.youtube.com/channel/UCzc0-xOjIXfCj3Dq5qTrvkg,2015-09-08 13:32:26+00:00,,5,45,8493
forena4265,Forena,TCO,,sweden,UCF-9zUmheMX5ebN4Gistb4Q,https://www.youtube.com/channel/UCF-9zUmheMX5ebN4Gistb4Q,2015-08-04 08:29:12+00:00,"Forena är det största facket inom försäkringsbranschen. Våra medlemmar jobbar på försäkringsbolag, på banker som ägs av försäkringsbolag och hos försäkringsförmedlare.",62,5,2263
fysioterapeuterna1283,fysioterapeuterna,Saco,,sweden,UCusB-_fjnuG3X5YPjtezk_w,https://www.youtube.com/channel/UCusB-_fjnuG3X5YPjtezk_w,2014-02-19 09:56:04+00:00,,91,105,24166
SverigesArbetsterapeuter,förbundet sveriges arbetsterapeuter,Saco,,sweden,UCMDRPJivcgF0hdpshw0NiRw,https://www.youtube.com/channel/UCMDRPJivcgF0hdpshw0NiRw,2009-05-06 10:17:38+00:00,Förbundet Sveriges Arbetsterapeuter (FSA) är både en facklig och professionsinriktad organisation för Sveriges arbetsterapeuter och för studenter under utbildning till att bli arbetsterapeut. FSA för Sveriges arbetsterapeuters talan!,19,164,53372
GSfacket1,gs facket,LO,,sweden,UCma079ovA08R8Jvb8lLylrA,https://www.youtube.com/channel/UCma079ovA08R8Jvb8lLylrA,2009-08-19 13:10:15+00:00,,114,74,43458
handelsanstalldasforbund,handelsanställdas förbund,LO,,sweden,UCAllPAiilutmVHmytzSIoYg,https://www.youtube.com/channel/UCAllPAiilutmVHmytzSIoYg,2008-11-10 09:12:58+00:00,"Handels-TV. Handelsanställdas förbund är LOs tredje största förbund. Handels finns på cirka 25 000 arbetsplatser och representerar en rad olika yrken och branscher. Majoriteten av våra medlemmar jobbar inom detaljhandeln. Andra medlemsgrupper är till exempel florister, frisörer, lagerarbetare, optiker, urmakare, tjänstemän, kontorsanställda och elever inom yrkesinriktad utbildning.
Ansvarig utgivare: Susanna Gideonsson.",277,566,732009
hotell-ochrestaurangfacket2597,hotell- och restaurangfacket,LO,,sweden,UCUiEghTWYpRfegHGozE-ajA,https://www.youtube.com/channel/UCUiEghTWYpRfegHGozE-ajA,2018-01-31 12:12:21+00:00,"Hotell- och restaurangfacket, HRF, är fackförbundet för dig som arbetar inom hotell, restauranger och nöjesanläggningar. Tillsammans skapar och arbetar vi för schysta villkor i vår bransch!",30,73,2796
hotell-ochrestaurangfacket9589,hotell- och restaurangfacket,LO,Hotell- och Restaurangfacket avd02,sweden,UC216Ul0KzbXXujbjHehvQwg,https://www.youtube.com/channel/UC216Ul0KzbXXujbjHehvQwg,2014-05-30 14:47:40+00:00,,12,10,869
ifmetallboras7634,industrifacket metall,LO,IF Metall Borås,sweden,UCCyP2UywNr2win1Rbve4taw,https://www.youtube.com/channel/UCCyP2UywNr2win1Rbve4taw,2014-08-26 07:06:09+00:00,"IF Metall Borås 
Norrby Tvärgata 3
504 37 Borås

Telefon: 033-48 28 00
Fax: 033-48 28 29
E-post: postbox.avd34@ifmetall.se
Hemsida: www.ifmetall.se/avd34

Expeditionsort: Borås
Kommuner som ingår: Tranemo, Mark, Svenljunga, Borås, Ulricehamn, Lerum, Vårgårda, Bollebygd, Herrljunga, Alingsås



",4,7,3766
ifmetallgoteborg,industrifacket metall,LO,IF Metall Göteborg 2008,sweden,UCc3xYkBz2Os8qo8NjSYWhtQ,https://www.youtube.com/channel/UCc3xYkBz2Os8qo8NjSYWhtQ,2008-02-01 17:48:51+00:00,"IF Metall Göteborg är facket som organiserar industriarbetarna i Göteborg.
På denna siten kommer vi att lägga ut filmer och bildspel från vår verksamhet.

Kontaktperson för sidan är:
Bengt Forsling 0706-309272
bengt.forsling@ifmetall.se
www.ifmetall.se/goteborg",56,22,14456
Industrifacketmetall,industrifacket metall,LO,,sweden,UCiTZ7n0QuZ2PPsBoLsESbig,https://www.youtube.com/channel/UCiTZ7n0QuZ2PPsBoLsESbig,2008-05-09 08:32:42+00:00,"Fackförbundet IF Metall organiserar anställda inom industrin. Genom att vi är många ökar våra möjligheter att förbättra våra villkor.

Vi finns även på Facebook
http://www.facebook.com/ifmetall

på Instagram
https://www.instagram.com/ifmetall/

och på Twitter
http://twitter.com/ifmetall

IF Metall
Olof Palmes gata 11
105 52 Stockholm
08-786 80 00
ifmetall@ifmetall.se",432,620,1055971
Industrifacketmetall,industrifacket metall,LO,,sweden,UCiTZ7n0QuZ2PPsBoLsESbig,https://www.youtube.com/channel/UCiTZ7n0QuZ2PPsBoLsESbig,2008-05-09 08:32:42+00:00,"Fackförbundet IF Metall organiserar anställda inom industrin. Genom att vi är många ökar våra möjligheter att förbättra våra villkor.

Vi finns även på Facebook
http://www.facebook.com/ifmetall

på Instagram
https://www.instagram.com/ifmetall/

och på Twitter
http://twitter.com/ifmetall

IF Metall
Olof Palmes gata 11
105 52 Stockholm
08-786 80 00
ifmetall@ifmetall.se",432,620,1055971
Industrifacketmetall,industrifacket metall,LO,,sweden,UCiTZ7n0QuZ2PPsBoLsESbig,https://www.youtube.com/channel/UCiTZ7n0QuZ2PPsBoLsESbig,2008-05-09 08:32:42+00:00,"Fackförbundet IF Metall organiserar anställda inom industrin. Genom att vi är många ökar våra möjligheter att förbättra våra villkor.

Vi finns även på Facebook
http://www.facebook.com/ifmetall

på Instagram
https://www.instagram.com/ifmetall/

och på Twitter
http://twitter.com/ifmetall

IF Metall
Olof Palmes gata 11
105 52 Stockholm
08-786 80 00
ifmetall@ifmetall.se",432,620,1055971
Industrifacketmetall,industrifacket metall,LO,,sweden,UCiTZ7n0QuZ2PPsBoLsESbig,https://www.youtube.com/channel/UCiTZ7n0QuZ2PPsBoLsESbig,2008-05-09 08:32:42+00:00,"Fackförbundet IF Metall organiserar anställda inom industrin. Genom att vi är många ökar våra möjligheter att förbättra våra villkor.

Vi finns även på Facebook
http://www.facebook.com/ifmetall

på Instagram
https://www.instagram.com/ifmetall/

och på Twitter
http://twitter.com/ifmetall

IF Metall
Olof Palmes gata 11
105 52 Stockholm
08-786 80 00
ifmetall@ifmetall.se",432,620,1055971
rullarrk,industrifacket metall,LO,,sweden,UCGOeWjjy3r8IwBTS99wdXeQ,https://www.youtube.com/channel/UCGOeWjjy3r8IwBTS99wdXeQ,2007-09-27 16:53:32+00:00,"Här finner du facklig information från gruppstyrelsen rullar RK. Gruppstyrelsen är en del av SKF Verkstadsklubb som i sin tur tillhör fackförbundet IF Metall. 

Kolla även in vår podradio, radio rullen, www.radiorullen.podomatic.com och youtube kanalen Medlem I Facket, www.youtube.com/medlemifacket
..........................................................................................

Vår idé utgår från ett löfte -- ett avtal -- som vi industriarbetare har gjort med varandra:

Vi lovar och försäkrar att aldrig någonsin under några omständigheter arbeta på sämre villkor eller till lägre lön än det vi nu lovar varandra. 

Vi lovar varandra detta i den djupa insikten om att om vi alla håller detta löfte så måste arbetsgivaren uppfylla våra krav!",2,2,2404
Journalistforbundet,journalistförbundet,TCO,,sweden,UCUAVTXL9IJ131fxTk_yZ4kA,https://www.youtube.com/channel/UCUAVTXL9IJ131fxTk_yZ4kA,2009-02-11 11:31:29+00:00,Svenska Journalistförbundet är yrkes- och fackförbundet för journalister som arbetar för svenska medier. Vi är den enda organisation som kan företräda och tala för alla journalister i landet. Bara journalister kan vara medlemmar i Journalistförbundet. Det är en styrka. Bli medlem du också!,115,92,38729
SvenskaJournalisten,journalistförbundet,TCO,tidningen journalisten,sweden,UCT9hKBLVx1Vr4A6ZQa3NSiw,https://www.youtube.com/channel/UCT9hKBLVx1Vr4A6ZQa3NSiw,2013-04-24 09:30:48+00:00,,199,301,180734
Boost2013,jusek,Saco,Boost13,sweden,UCfzH9Wq50BZnx8EYobRKw0w,https://www.youtube.com/channel/UCfzH9Wq50BZnx8EYobRKw0w,2012-10-15 07:25:43+00:00,"Med Boost har du Juseks karriärstöd
i din hand. Med boken, e-boken och
mobilappen Boost får du handfasta råd
i hur du skriver en ansökan, ett cv eller
hur du förbereder dig inför anställningsintervjun.

Den ger också tips på hur du hittar jobben, löneförhandlar och hur du kommer vidare i karriären. I appen
Boost hittar du även lediga jobb i samarbete med Jusektidningen.",6,15,10355
JusekTV,jusek,Saco,,sweden,UCy9mgyjoQZf8r_hnhxMW1UA,https://www.youtube.com/channel/UCy9mgyjoQZf8r_hnhxMW1UA,2009-02-06 14:52:53+00:00,Den 1 januari 2020 gick Jusek och Civilekonomerna ihop och bildade Akavia. Du hittar vårt nya förbund på akavia.se,102,217,951518
facket_kommunal,kommunalarbetareförbundet,LO,Kommunal,sweden,UCHejjxicO2fuIDorvpjPtyQ,https://www.youtube.com/channel/UCHejjxicO2fuIDorvpjPtyQ,2008-10-01 13:36:31+00:00,"Kommunal har funnits i över hundra år och är en av Sveriges största fackföreningar, med över 
500 000 medlemmar. Vi representerar över 230 yrkesgrupper inom välfärden, vilket gör oss till en stark förening när det är dags att förhandla med arbetsgivaren.

Anledningen till att Kommunal finns är att vi vill göra det bättre i arbetslivet. Som medlem ska du få mer i lön, tryggare anställningar, rätt bemanning på arbetsplatsen och mer tid för återhämtning. Kommunal vill fokusera på det där som alla drömmer om. Att kunna ha ett jobb där man trivs och utvecklas, men fortfarande ha energi och resurser för att kunna göra härliga saker på sin fritid.",224,2270,5208838
Kommunalarbetaren,kommunalarbetareförbundet,LO,,sweden,UCUzvx5Yp2c6NxbMnnp-0S4g,https://www.youtube.com/channel/UCUzvx5Yp2c6NxbMnnp-0S4g,2007-04-02 11:16:54+00:00,Kommunalarbetaren grundades 1910 och går ut till alla medlemmar i fackförbundet Kommunal. Den utkommer med 21 nummer per år och finns på nätet - www.ka.se - sedan 1999.,152,369,339556
valjvalfarden7634,kommunalarbetareförbundet,LO,Välj Välfärden,sweden,UC6KoItiOGICDUVmxDTyvOUg,https://www.youtube.com/channel/UC6KoItiOGICDUVmxDTyvOUg,2014-08-19 14:01:19+00:00,,2,67,647358
Livsmedelsarbetare,Livsmedelsarbetareförbundet Sverige,LO,,sweden,UC5B4Q5e9f5OYeMhNcD-rUXw,https://www.youtube.com/channel/UC5B4Q5e9f5OYeMhNcD-rUXw,2013-06-02 07:08:42+00:00,Detta är Livsmedelsarbetareförbundets officiella YouTube-kanal. Livs är ett LO-förbund som samlar ca 28 000 medlemmar inom livsmedelsindustrin. Livs värnar om medlemmens intressen på arbetsplatsen och på arbetsmarknaden i stort.,284,63,11979
livsmedelsarbetareforsolid3658,Livsmedelsarbetareförbundet Sverige,LO,Livsmedelsarbetare för Solidaritet,sweden,UCSUWZ7abnOKOZUj2d-FI6yg,https://www.youtube.com/channel/UCSUWZ7abnOKOZUj2d-FI6yg,2020-11-27 13:11:12.299662+00:00,,5,15,1343
losverige,lo,LO,,sweden,UCheDwGlGJlyeyjCIktXvvrg,https://www.youtube.com/channel/UCheDwGlGJlyeyjCIktXvvrg,2011-01-25 13:21:15+00:00,"Detta är LO:s, Landsorganisationen i Sverige, officiella Youtubekanal. Tillsammans arbetar LO för ett bättre arbetsliv.",154,1520,4830882
Lararforbundet,lärarförbundet,TCO,,sweden,UCC0-3t37uCBT8B5VXG82T9g,https://www.youtube.com/channel/UCC0-3t37uCBT8B5VXG82T9g,2007-09-19 10:54:26+00:00,"Nordens största organisation för lärare, skolledare och lärarstudenter. Vi driver frågor som utvecklar läraryrket och skolan.",336,931,8049534
lararforbundethalmstad4100,lärarförbundet,TCO,Lärarförbundet Halmstad,sweden,UCYS6uFtR7XisVX2cSW7GZHg,https://www.youtube.com/channel/UCYS6uFtR7XisVX2cSW7GZHg,2015-08-20 07:17:50+00:00,,20,3,743
lararforbundetkarlskrona590,lärarförbundet,TCO,lärarförbundet karlskrona,sweden,UCWcWCTjK1PLKC-PDmKPXkKw,https://www.youtube.com/channel/UCWcWCTjK1PLKC-PDmKPXkKw,2014-09-08 19:43:28+00:00,,17,2,823
lararforbundetkarlstad1297,lärarförbundet,TCO,lararforbundetkarlstad,sweden,UC-JHjU33UFbZNZ6V9Cjlq7Q,https://www.youtube.com/channel/UC-JHjU33UFbZNZ6V9Cjlq7Q,2022-07-08 06:13:11.833009+00:00,,7,6,547
lararforbundetkarlstad1297,lärarförbundet,TCO,lararforbundetkarlstad,sweden,UC-JHjU33UFbZNZ6V9Cjlq7Q,https://www.youtube.com/channel/UC-JHjU33UFbZNZ6V9Cjlq7Q,2022-07-08 06:13:11.833009+00:00,,7,6,547
lararforbundetkarlstad1297,lärarförbundet,TCO,lärarförbundet karlstad,sweden,UC-JHjU33UFbZNZ6V9Cjlq7Q,https://www.youtube.com/channel/UC-JHjU33UFbZNZ6V9Cjlq7Q,2022-07-08 06:13:11.833009+00:00,,7,6,547
lararforbundetkarlstad1297,lärarförbundet,TCO,lärarförbundet karlstad,sweden,UC-JHjU33UFbZNZ6V9Cjlq7Q,https://www.youtube.com/channel/UC-JHjU33UFbZNZ6V9Cjlq7Q,2022-07-08 06:13:11.833009+00:00,,7,6,547
lararforbundetkarlstad285,lärarförbundet,TCO,lararforbundetkarlstad,sweden,UCd_jw4JWsRT3FJv1DGHn9mg,https://www.youtube.com/channel/UCd_jw4JWsRT3FJv1DGHn9mg,2014-09-03 11:55:09+00:00,"Lärare och skolledare i alla skolformer, studie- och yrkesvägledare och lärarstudenter - i Lärarförbundet är det självklart att vi hör ihop. Och att vi verkar bäst i ett gemensamt fackligt yrkesförbund.
På denna denna sida kan du följa Lärarförbundet i Karlstad och deras producerade filmer.",38,8,3115
lararforbundetkungalv6704,lärarförbundet,TCO,lärarförbundet kungälv,sweden,UCgBqCse63fbetHUsbOedfJQ,https://www.youtube.com/channel/UCgBqCse63fbetHUsbOedfJQ,2014-05-06 09:41:47+00:00,,9,8,1539
lararforbundetkungsbacka9217,lärarförbundet,TCO,lärarförbundet kungsbacka,sweden,UCm23sWuqjiJfrdp5AF2rZOA,https://www.youtube.com/channel/UCm23sWuqjiJfrdp5AF2rZOA,2015-02-01 11:13:09+00:00,,16,14,5647
lararforbundetornskoldsvik5724,lärarförbundet,TCO,lärarförbundet Örnsköldsvik,sweden,UCJXFOrh2Za7kMmw9FjUmtBA,https://www.youtube.com/channel/UCJXFOrh2Za7kMmw9FjUmtBA,2018-08-30 14:26:32+00:00,,1,0,4
lararforbundetornskoldsvik8180,lärarförbundet,TCO,lärarförbundet Örnsköldsvik,sweden,UCnBj3J9XX8H684lol1l8CcQ,https://www.youtube.com/channel/UCnBj3J9XX8H684lol1l8CcQ,2012-03-30 17:14:04+00:00,,1,2,233
lararforbundetstockholm2373,lärarförbundet,TCO,lärarförbundet stockholm,sweden,UCqqSx2A7h-UiNVC2dScyjsQ,https://www.youtube.com/channel/UCqqSx2A7h-UiNVC2dScyjsQ,2014-09-12 13:29:20+00:00,"Välkommen till Lärarförbundet Stockholms YouTube-kanal! 

Lärarförbundet Stockholm organiserar 17 000 lärare i Stockholm - från förskola till högskola. Vi finns för dig som har frågor, behöver hjälp eller vill engagera dig fackligt. Vi lyfter också frågor kring lärares yrkesutveckling och profession både gentemot medlemmarna, arbetsgivaren och samhället. 

Här delar vi med oss om vad vi arbetar med och vad vi tycker att Stockholm kan göra för att utveckla skolan. Med en stark profession som har möjlighet att ägna sig åt sitt kärnuppdrag kan vi på riktigt skapa en likvärdig skola! 

Vill du läsa mer om Lärarförbundet Stockholm? Kika in på vår hemsida, vår Facebook-sida eller vårt Twitter-konto!",1,3,147
lararforbundetsundsvall1490,lärarförbundet,TCO,lärarförbundet sundsvall,sweden,UC-Jx6g4aS2_VgVwzAyO8iCA,https://www.youtube.com/channel/UC-Jx6g4aS2_VgVwzAyO8iCA,2015-04-24 08:11:47+00:00,,6,1,201
milla79larare,lärarförbundet,TCO,lärarförbundet Västerås,sweden,UCEeb5_zPFLr3Pd1W225ykZg,https://www.youtube.com/channel/UCEeb5_zPFLr3Pd1W225ykZg,2012-03-22 09:50:20+00:00,Lärarförbundet Västerås kanal,2,1,84
studiolararforbundetstuden2879,lärarförbundet,TCO,studio lärarförbundet student,sweden,UCs3qm5sEbBbuc9b5uKEqpVA,https://www.youtube.com/channel/UCs3qm5sEbBbuc9b5uKEqpVA,2014-06-30 21:07:04+00:00,,5,10,351
LararnasRiksforbund_LR,lärarnas riksförbund,Saco,,sweden,UCMbcARS_xG_rPqTzJWVllCQ,https://www.youtube.com/channel/UCMbcARS_xG_rPqTzJWVllCQ,2010-09-12 15:52:28+00:00,Lärarnas Riksförbunds officiella Youtube-kanal.,63,227,126838
Skolvarlden,lärarnas riksförbund,Saco,Skolvarlden,sweden,UCu8esWNy1CjNeXbeOLlvG_A,https://www.youtube.com/channel/UCu8esWNy1CjNeXbeOLlvG_A,2009-11-20 11:48:20+00:00,"Skolvärlden speglar aktuella skolfrågor ur ett lärarperspektiv varje dag på Skolvärlden.se, Twitter, Facebook och i vårt nyhetsbrev.

Varje månad ger vi ut ett fullmatat magasin med en mix av fördjupande reportage, granskningar av skolans makthavare och system - och praktiska tips att ta med in klassrummet. Skolvärlden ägs av Lärarnas Riksförbund.

Kommentarspolicy:
Skolvärlden välkomnar att du kommenterar inslagen. Det finns några grundläggande regler för kommentarer.
Saklighet: Kommentaren ska gälla ämnet ifråga.
Respekt: Respektera andra människors privatliv. Påstå inte saker om andra människor.
Följ lagen, håll god ton, visa respekt och artighet mot de övriga kommentatorerna.
Vi accepterar inte kommentarer som kränker integriteten och människovärdet, diskriminerar eller uppmanar till våld eller hat mot en individ eller en folkgrupp.
Kommentarer som bryter mot reglerna kan raderas utan förvarning. Beslutet att radera är ett självständigt redaktionellt beslut.",214,2320,895185
Musikerforbundet,musikerförbundet,LO,,sweden,UCkhbupHbW83xzqx4wgayrNA,https://www.youtube.com/channel/UCkhbupHbW83xzqx4wgayrNA,2012-01-20 09:04:21+00:00,"Den officiella Youtubekanalen för Musikerförbundet, fackförbundet för dig som jobbar med musik. Vi arbetar för att förbättra våra medlemmars upphovs- och arbetsrättsliga villkor och verkar för att musiker och artister ska få en rättvis del av det ekonomiska värde de skapar i samhället.",50,130,60563
malareforbundet,målareförbundet,LO,Målarna,sweden,UCV0ukod6H757S9KygWXhQTQ,https://www.youtube.com/channel/UCV0ukod6H757S9KygWXhQTQ,2014-06-03 11:58:55+00:00,Svenska Målareförbundet är fackförbundet för dig som jobbar eller studerar inom måleri eller lackering. Vi är över 14 000 målare och lackerare som jobbar för rättvisa löner och trygga jobb!,38,45,104414
naturvetarna1928,naturvetarna,Saco,,sweden,UCduCMQgnYQyBeQNZSertOgg,https://www.youtube.com/channel/UCduCMQgnYQyBeQNZSertOgg,2012-09-17 08:38:56+00:00,Naturvetarna är fackförbundet för akademiker med en naturvetenskaplig utbildning.  Våra medlemmar hittar lösningar på samhällets utmaningar och tar fram morgondagens innovationer.,26,56,5079
pappers1281,pappers,LO,,sweden,UCVofBo9NOMHoDexkCnfCSYg,https://www.youtube.com/channel/UCVofBo9NOMHoDexkCnfCSYg,2014-05-21 14:47:32+00:00,"Pappers förbundskontor är ett rikstäckande servicekontor för de 54 lokala avdelningarna och förbundets ca 13 500 medlemmar. Vi har service inom alla fackliga områden, från avtal och förhandlingsverksamhet vid utredningsfunktioner, till vår arbetslöshetskassa.

Vårt kontor är centralt beläget i Stockholms innerstad på bara fem-tio minuters promenad från centralstationen och flygbussterminalen. Så det är alltid nära om du vill besöka oss, när du är i Stockholm.",118,120,56405
